1,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,Observo mi entorno,2020-01-25 17:59:38-05
436,Matemáticas,4-5,PENSAMIENTO ALEATORIO Y SISTEMAS DE DATOS,Comparo diferentes representaciones del mismo conjunto de datos.,2020-01-25 18:12:03.453072-05
437,Matemáticas,4-5,PENSAMIENTO ALEATORIO Y SISTEMAS DE DATOS,"Interpreto información presentada en tablas y gráficas. (Pictogramas, gráficas  de barras, diagramas de líneas, diagramas circulares).",2020-01-25 18:12:03.453072-05
438,Matemáticas,4-5,PENSAMIENTO ALEATORIO Y SISTEMAS DE DATOS,Conjeturo y pongo a prueba predicciones acerca de la posibilidad de ocurrencia de eventos.,2020-01-25 18:12:03.453072-05
439,Matemáticas,4-5,PENSAMIENTO ALEATORIO Y SISTEMAS DE DATOS,Describo la manera como parecen distribuirse los distintos datos de un conjunto de ellos y la comparo con la manera como se distribuyen en otros conjuntos de datos.,2020-01-25 18:12:03.453072-05
440,Matemáticas,4-5,PENSAMIENTO ALEATORIO Y SISTEMAS DE DATOS,Uso e interpreto la media (o promedio) y la mediana y comparo lo que indican.,2020-01-25 18:12:03.453072-05
441,Matemáticas,4-5,PENSAMIENTO ALEATORIO Y SISTEMAS DE DATOS,"Resuelvo y formulo problemas a partir de un conjunto de datos provenientes de observaciones, consultas o experimentos.",2020-01-25 18:12:03.453072-05
442,Matemáticas,4-5,PENSAMIENTO VARIACIONAL Y SISTEMAS ALGEBRAICOS Y ANALÍTICOS,Describo e interpreto variaciones representadas en gráficos.,2020-01-25 18:12:03.453072-05
443,Matemáticas,4-5,PENSAMIENTO VARIACIONAL Y SISTEMAS ALGEBRAICOS Y ANALÍTICOS,"Predigo patrones de variación en una secuencia numérica, geométrica o gráfica.",2020-01-25 18:12:03.453072-05
444,Matemáticas,4-5,PENSAMIENTO VARIACIONAL Y SISTEMAS ALGEBRAICOS Y ANALÍTICOS,Represento y relaciono patrones numéricos con tablas y reglas verbales.,2020-01-25 18:12:03.453072-05
445,Matemáticas,4-5,PENSAMIENTO VARIACIONAL Y SISTEMAS ALGEBRAICOS Y ANALÍTICOS,"Analizo y explico relaciones de dependencia entre cantidades que varían en el tiempo con cierta regularidad en situaciones económicas, sociales y de las ciencias naturales.",2020-01-25 18:12:03.453072-05
446,Matemáticas,4-5,PENSAMIENTO VARIACIONAL Y SISTEMAS ALGEBRAICOS Y ANALÍTICOS,Construyo igualdades y desigualdades numéricas como representación de relaciones entre distintos datos.,2020-01-25 18:12:03.453072-05
